Index,Lat_Start,Lon_Start,Number
267,58.54892,-3.91102,3
268,58.54928,-3.91152,4
269,58.54958,-3.91208,5
270,58.55058,-3.91453,1
271,58.55099,-3.91518,2
272,58.55337,-3.91797,3
273,58.55441,-3.91901,4
274,58.55472,-3.91942,5
275,58.55521,-3.92039,1
276,58.55664,-3.92457,2
277,58.55727,-3.92838,3
278,58.55769,-3.93012,4
279,58.55803,-3.93093,5
280,58.55822,-3.93121,1
281,58.55864,-3.93168,2
282,58.55903,-3.93197,3
283,58.55933,-3.93237,4
284,58.55946,-3.93266,5
285,58.55964,-3.93337,1
287,58.5599,-3.93767,2
288,58.55944,-3.94261,3
289,58.55949,-3.94395,4
290,58.55963,-3.94499,5
291,58.56208,-3.95535,1
292,58.56221,-3.95622,2
