type	latitude	longitude	color	opacity	width	scale	sym	name	desc
W	51.034399900	2.376783900				0.7	images/icon-1.png	Dunkirk, France	
W	67.931897000	26.536155000				0.7	images/icon-2.png	Lapland, Finland	

type	latitude	longitude	color	opacity	width	scale	sym	name	desc
T	51.034400000	2.376780000	#1267ff	1.00	5			Directions from Dunkirk, France to Lapland, Finland	
T	51.034380000	2.377020000							
T	51.034410000	2.377110000							
T	51.034750000	2.385300000							
T	51.034680000	2.385930000							
T	51.035580000	2.386690000							
T	51.035880000	2.386850000							
T	51.036510000	2.386990000							
T	51.036910000	2.386940000							
T	51.037080000	2.386970000							
T	51.037080000	2.386980000							
T	51.037090000	2.386980000							
T	51.037090000	2.386990000							
T	51.037120000	2.387010000							
T	51.037120000	2.387020000							
T	51.037170000	2.387030000							
T	51.037170000	2.387020000							
T	51.037190000	2.387020000							
T	51.037190000	2.387010000							
T	51.037200000	2.387010000							
T	51.037200000	2.387000000							
T	51.037210000	2.387000000							
T	51.037220000	2.386960000							
T	51.037230000	2.386960000							
T	51.037230000	2.386910000							
T	51.037240000	2.386910000							
T	51.037240000	2.386890000							
T	51.037380000	2.386720000							
T	51.038700000	2.385900000							
T	51.041020000	2.385620000							
T	51.041210000	2.389530000							
T	51.048010000	2.416810000							
T	51.046670000	2.418430000							
T	51.046510000	2.418540000							
T	51.046550000	2.418690000							
T	51.046600000	2.418730000							
T	51.050460000	2.431730000							
T	51.050460000	2.431840000							
T	51.051620000	2.435700000							
T	51.051620000	2.435880000							
T	51.054490000	2.445470000							
T	51.054990000	2.447840000							
T	51.055350000	2.450900000							
T	51.055380000	2.452840000							
T	51.055610000	2.455140000							
T	51.055570000	2.455220000							
T	51.055700000	2.455420000							
T	51.055830000	2.455800000							
T	51.056480000	2.461920000							
T	51.056940000	2.463920000							
T	51.058550000	2.468570000							
T	51.058570000	2.468890000							
T	51.058470000	2.469640000							
T	51.057940000	2.470740000							
T	51.057880000	2.470790000							
T	51.057720000	2.471090000							
T	51.057420000	2.472110000							
T	51.057420000	2.472560000							
T	51.057850000	2.475120000							
T	51.058480000	2.477530000							
T	51.059470000	2.479560000							
T	51.060300000	2.481900000							
T	51.061580000	2.484530000							
T	51.062290000	2.486590000							
T	51.062590000	2.487100000							
T	51.063210000	2.487870000							
T	51.064180000	2.489900000							
T	51.064770000	2.489000000							
T	51.064790000	2.489060000							
T	51.064770000	2.489090000							
T	51.066080000	2.494220000							
T	51.067590000	2.504370000							
T	51.068770000	2.508490000							
T	51.068690000	2.508550000							
T	51.069720000	2.512410000							
T	51.069900000	2.516270000							
T	51.070420000	2.516060000							
T	51.070950000	2.519300000							
T	51.071010000	2.519270000							
T	51.071580000	2.523870000							
T	51.071710000	2.523820000							
T	51.071790000	2.525500000							
T	51.071970000	2.526510000							
T	51.071920000	2.526650000							
T	51.076060000	2.555170000							
T	51.075840000	2.555310000							
T	51.075870000	2.555480000							
T	51.075660000	2.555590000							
T	51.070760000	2.559490000							
T	51.070760000	2.559590000							
T	51.070380000	2.559940000							
T	51.070360000	2.560040000							
T	51.070550000	2.561580000							
T	51.070500000	2.561780000							
T	51.073030000	2.582560000							
T	51.073940000	2.594110000							
T	51.073920000	2.594750000							
T	51.073540000	2.597210000							
T	51.073580000	2.598060000							
T	51.074070000	2.599330000							
T	51.073250000	2.599960000							
T	51.072970000	2.599870000							
T	51.072990000	2.599500000							
T	51.072960000	2.599450000							
T	51.072810000	2.600480000							
T	51.072350000	2.601950000							
T	51.072340000	2.601950000							
T	51.072070000	2.602690000							
T	51.071850000	2.602830000							
T	51.071760000	2.602790000							
T	51.071660000	2.602820000							
T	51.071580000	2.602900000							
T	51.071530000	2.603050000							
T	51.071530000	2.603240000							
T	51.071600000	2.603410000							
T	51.071680000	2.603480000							
T	51.071700000	2.603480000							
T	51.071810000	2.603760000							
T	51.066720000	2.633840000							
T	51.066720000	2.634160000							
T	51.068060000	2.639540000							
T	51.068570000	2.643120000							
T	51.068330000	2.644940000							
T	51.068720000	2.648940000							
T	51.068840000	2.649370000							
T	51.070190000	2.651460000							
T	51.070500000	2.652360000							
T	51.070580000	2.656240000							
T	51.070500000	2.656730000							
T	51.070270000	2.657350000							
T	51.070190000	2.658450000							
