Lat_Start,Lon_Start,Coordinate Pair,Lat_End,Lon_End,Lat_Start_Rad,Lon_Start_Rad,Lat_End_Rad,Lon_End_Rad,Distance_Km,RT_Km,Distance_Miles,RT_Miles,Trip,RowCount
67.69896,24.95034,,67.69732,24.95034,1.181569752,0.435465582,1.181541129,0.435465582,0.182359686,2956.577559,0.113320044,1837.245418,29630,2
67.69732,24.95846,,67.69707,24.95846,1.181541129,0.435607303,1.181536765,0.435607303,0.027798702,2956.605358,0.017274378,1837.262692,29631,3
67.69707,24.9614,,67.69768,24.9614,1.181536765,0.435658616,1.181547412,0.435658616,0.067828862,2956.673187,0.0421495,1837.304842,29632,4
67.69768,24.96614,,67.69782,24.96614,1.181547412,0.435741345,1.181549855,0.435741345,0.015567073,2956.688754,0.009673527,1837.314515,29633,5
67.69782,24.96668,,67.70881,24.96668,1.181549855,0.435750769,1.181741667,0.435750769,1.222032241,2957.910786,0.759382458,1838.073898,29634,1
67.70881,24.98989,,67.71199,24.98989,1.181741667,0.43615586,1.181797169,0.43615586,0.353599858,2958.264386,0.219730315,1838.293628,29635,2
67.71199,24.99463,,67.71208,24.99463,1.181797169,0.436238589,1.181798739,0.436238589,0.01000791,2958.274394,0.00621901,1838.299847,29636,3
67.71208,24.99471,,67.71236,24.99471,1.181798739,0.436239985,1.181803626,0.436239985,0.031134725,2958.305529,0.019347414,1838.319195,29637,4
67.71236,24.99478,,67.71271,24.99478,1.181803626,0.436241207,1.181809735,0.436241207,0.038918262,2958.344447,0.024184178,1838.343379,29638,5
67.71271,24.99479,,67.71337,24.99479,1.181809735,0.436241381,1.181821254,0.436241381,0.07338867,2958.417836,0.045604417,1838.388983,29639,1
67.71337,24.99466,,67.71511,24.99466,1.181821254,0.436239112,1.181851623,0.436239112,0.193479162,2958.611315,0.120229792,1838.509213,29640,2
67.71511,24.99496,,67.71539,24.99496,1.181851623,0.436244348,1.18185651,0.436244348,0.031134581,2958.642449,0.019347325,1838.52856,29641,3
67.71539,24.99507,,67.71802,24.99507,1.18185651,0.436246268,1.181902412,0.436246268,0.292442665,2958.934892,0.181726654,1838.710287,29642,4
