type,latitude,longitude
T,58.54803,-3.88983
T,58.54731,-3.89054
T,58.54694,-3.8908
T,58.54554,-3.89153
T,58.54478,-3.89208
T,58.54452,-3.89233
T,58.54373,-3.8933
T,58.54332,-3.89396
T,58.54272,-3.8953
T,58.54221,-3.89719
T,58.54196,-3.89947
T,58.542,-3.90121
T,58.54214,-3.90244
T,58.54233,-3.90337
T,58.54284,-3.90509
T,58.54334,-3.9062
T,58.5436,-3.9066
T,58.54424,-3.90735
T,58.54464,-3.9077
T,58.54464,-3.90771
T,58.5485,-3.91058
T,58.54892,-3.91102
T,58.54928,-3.91152
T,58.54958,-3.91208
T,58.55058,-3.91453
T,58.55099,-3.91518
T,58.55337,-3.91797
T,58.55441,-3.91901
T,58.55472,-3.91942
T,58.55521,-3.92039
T,58.55664,-3.92457
T,58.55727,-3.92838
T,58.55769,-3.93012
T,58.55803,-3.93093
T,58.55822,-3.93121
T,58.55864,-3.93168
T,58.55903,-3.93197
T,58.55933,-3.93237
T,58.55946,-3.93266
T,58.55964,-3.93337
T,58.5599,-3.93609
T,58.5599,-3.93767
T,58.55944,-3.94261
T,58.55949,-3.94395
T,58.55963,-3.94499
T,58.56208,-3.95535
T,58.56221,-3.95622
T,58.56227,-3.95739
T,58.5622,-3.95832
T,58.562,-3.9593
T,58.56177,-3.95997
T,58.56034,-3.96301
T,58.55976,-3.96508
T,58.55957,-3.96653
T,58.55913,-3.98233
T,58.5594,-3.98467
T,58.55941,-3.98468
T,58.55982,-3.98785
T,58.55984,-3.989
T,58.55974,-3.98977
T,58.55954,-3.9903
T,58.55913,-3.99092
T,58.55834,-3.99163
T,58.55809,-3.99224
T,58.55751,-3.99498
T,58.55741,-3.99589
T,58.55745,-3.99644
T,58.55846,-4.0002
T,58.55978,-4.00352
T,58.56047,-4.00494
T,58.56148,-4.00624
T,58.56166,-4.00659
T,58.56183,-4.00725
T,58.56184,-4.00726
T,58.56215,-4.00908
T,58.56222,-4.01205
T,58.56185,-4.01445
T,58.56164,-4.01534
T,58.56093,-4.0172
T,58.55907,-4.02093
T,58.5584,-4.02405
T,58.55805,-4.02525
T,58.55695,-4.02754
T,58.55661,-4.02865
T,58.55643,-4.02951
T,58.55632,-4.03051
T,58.55631,-4.03052
T,58.5561,-4.03977
T,58.55594,-4.04127
T,58.55307,-4.05523
T,58.55262,-4.05825
T,58.55231,-4.0595
T,58.55196,-4.0603
T,58.5513,-4.06134
