type	latitude	longitude	color	opacity	width	scale	sym	name	desc
T	58.551630000	-3.627540000							
T	58.551900000	-3.636940000							
T	58.552310000	-3.640150000							
T	58.555200000	-3.652460000							
T	58.555460000	-3.654540000							
T	58.555570000	-3.657220000							
T	58.555360000	-3.660010000							
T	58.553200000	-3.675590000							
T	58.552160000	-3.693370000							
T	58.552640000	-3.699340000							
T	58.552810000	-3.704050000							
T	58.553280000	-3.706390000							
T	58.553460000	-3.706940000							
T	58.554570000	-3.708970000							
T	58.555020000	-3.710120000							
T	58.559970000	-3.733620000							
T	58.560740000	-3.751920000							
T	58.561480000	-3.760760000							
T	58.561030000	-3.761180000							
T	58.560890000	-3.761510000							
T	58.560950000	-3.766300000							
T	58.560640000	-3.769790000							
T	58.560280000	-3.771450000							
T	58.560090000	-3.771980000							
T	58.559620000	-3.772940000							
T	58.559090000	-3.774290000							
T	58.558940000	-3.775700000							
T	58.558950000	-3.776360000							
T	58.559180000	-3.778450000							
T	58.559040000	-3.782590000							
T	58.557330000	-3.792770000							
T	58.556880000	-3.794070000							
T	58.556750000	-3.794610000							
T	58.556460000	-3.798450000							
T	58.556910000	-3.809610000							
T	58.556850000	-3.810200000							
T	58.556410000	-3.812090000							
T	58.556320000	-3.812860000							
T	58.556410000	-3.817100000							
T	58.555130000	-3.828200000							
T	58.554540000	-3.831640000							
T	58.554510000	-3.832440000							
T	58.554600000	-3.834350000							
T	58.554820000	-3.835150000							
T	58.555150000	-3.835700000							
T	58.555380000	-3.835910000							
T	58.555760000	-3.836150000							
T	58.556180000	-3.836650000							
T	58.556370000	-3.837030000							
T	58.556590000	-3.837760000							
T	58.556660000	-3.838460000							
T	58.556630000	-3.839200000							
T	58.555840000	-3.843780000							
T	58.554560000	-3.847970000							
T	58.554390000	-3.848770000							
T	58.554270000	-3.850270000							
T	58.554340000	-3.851150000							
T	58.554700000	-3.853330000							
T	58.554920000	-3.857480000							
T	58.554610000	-3.862390000							
T	58.554700000	-3.867420000							
T	58.554500000	-3.868610000							
T	58.554350000	-3.869020000							
T	58.553290000	-3.870840000							
T	58.553130000	-3.871410000							
T	58.553020000	-3.872210000							
T	58.553050000	-3.873200000							
T	58.552960000	-3.873970000							
T	58.551970000	-3.877070000							
T	58.551780000	-3.878350000							
T	58.551920000	-3.880560000							
T	58.551830000	-3.883350000							
T	58.551390000	-3.886170000							
T	58.551230000	-3.886690000							
T	58.550860000	-3.887530000							
T	58.550750000	-3.887680000							
T	58.550350000	-3.888050000							
T	58.548800000	-3.889100000							
T	58.548040000	-3.889830000							
T	58.548030000	-3.889830000							
T	58.547310000	-3.890540000							
T	58.546940000	-3.890800000							
T	58.545540000	-3.891530000							
T	58.544780000	-3.892080000							
T	58.544520000	-3.892330000							
T	58.543730000	-3.893300000							
T	58.543320000	-3.893960000							
T	58.542720000	-3.895300000							
T	58.542210000	-3.897190000							
T	58.541960000	-3.899470000							
T	58.542000000	-3.901210000							
T	58.542140000	-3.902440000							
T	58.542330000	-3.903370000							
T	58.542840000	-3.905090000							
T	58.543340000	-3.906200000							
T	58.543600000	-3.906600000							
T	58.544240000	-3.907350000							
T	58.544640000	-3.907700000							
T	58.544640000	-3.907710000							
T	58.548500000	-3.910580000							
T	58.548920000	-3.911020000							
T	58.549280000	-3.911520000							
T	58.549580000	-3.912080000							
T	58.550580000	-3.914530000							
T	58.550990000	-3.915180000							
T	58.553370000	-3.917970000							
T	58.554410000	-3.919010000							
T	58.554720000	-3.919420000							
T	58.555210000	-3.920390000							
T	58.556640000	-3.924570000							
T	58.557270000	-3.928380000							
T	58.557690000	-3.930120000							
T	58.558030000	-3.930930000							
T	58.558220000	-3.931210000							
T	58.558640000	-3.931680000							
T	58.559030000	-3.931970000							
T	58.559330000	-3.932370000							
T	58.559460000	-3.932660000							
T	58.559640000	-3.933370000							
T	58.559900000	-3.936090000							
T	58.559900000	-3.937670000							
T	58.559440000	-3.942610000							
T	58.559490000	-3.943950000							
T	58.559630000	-3.944990000							
T	58.562080000	-3.955350000							
T	58.562210000	-3.956220000							
T	58.562270000	-3.957390000							
T	58.562200000	-3.958320000							
T	58.562000000	-3.959300000							
T	58.561770000	-3.959970000							
T	58.560340000	-3.963010000							
T	58.559760000	-3.965080000							
T	58.559570000	-3.966530000							
T	58.559130000	-3.982330000							
T	58.559400000	-3.984670000							
T	58.559410000	-3.984680000							
T	58.559820000	-3.987850000							
T	58.559840000	-3.989000000							
T	58.559740000	-3.989770000							
T	58.559540000	-3.990300000							
T	58.559130000	-3.990920000							
T	58.558340000	-3.991630000							
T	58.558090000	-3.992240000							
T	58.557510000	-3.994980000							
T	58.557410000	-3.995890000							
T	58.557450000	-3.996440000							
T	58.558460000	-4.000200000							
T	58.559780000	-4.003520000							
T	58.560470000	-4.004940000							
T	58.561480000	-4.006240000							
T	58.561660000	-4.006590000							
T	58.561830000	-4.007250000							
T	58.561840000	-4.007260000							
T	58.562150000	-4.009080000							
T	58.562220000	-4.012050000							
T	58.561850000	-4.014450000							
T	58.561640000	-4.015340000							
T	58.560930000	-4.017200000							
T	58.559070000	-4.020930000							
T	58.558400000	-4.024050000							
T	58.558050000	-4.025250000							
T	58.556950000	-4.027540000							
T	58.556610000	-4.028650000							
T	58.556430000	-4.029510000							
T	58.556320000	-4.030510000							
T	58.556310000	-4.030520000							
T	58.556100000	-4.039770000							
T	58.555940000	-4.041270000							
T	58.553070000	-4.055230000							
T	58.552620000	-4.058250000							
T	58.552310000	-4.059500000							
T	58.551960000	-4.060300000							
T	58.551300000	-4.061340000							
T	58.550480000	-4.062080000							
T	58.548290000	-4.063660000							
T	58.547740000	-4.064230000							
T	58.547350000	-4.064850000							
T	58.546950000	-4.065930000							
T	58.546650000	-4.067510000							
T	58.546610000	-4.068620000							
T	58.546670000	-4.069600000							
T	58.547270000	-4.072470000							
T	58.547400000	-4.073540000							
T	58.547270000	-4.076990000							
T	58.547190000	-4.077250000							
T	58.547070000	-4.077480000							
T	58.544690000	-4.080040000							
T	58.544560000	-4.080390000							
T	58.544520000	-4.080650000							
T	58.544770000	-4.083640000							
T	58.544750000	-4.083950000							
