X,Y,OBJECTID,POSTCODE,NO_OF_PROPERTIES,NO_OF_HA_PROPERTIES,F__HA_OF_POSTCODE_TOTAL,NO_OF_OTHER_PROPERTIES,F__OTHER_OF_POSTCODE_TOTAL,ADDRESS,LATITUDE,LONGITUDE,EASTING,NORTHING,CONSTITUENCY,WARD,LSOA,REGION,LSOA_CODE,ROW_NUMBER
-4.27396699993483,55.8650800002021,4824,G3 7EE,14,0,0,14,1,G3 7EE,55.86508,-4.273967,257792,665883,Glasgow Central,Anderston/City/Yorkhill,Anderston - 05,,S01010280,4665
-4.29271099961658,55.9051490001303,4825,G23 5JA,49,8,0,41,1,G23 5JA,55.905149,-4.292711,256767,670380,Glasgow North,Maryhill,Summerston North - 03,,S01010348,4454
-4.27472400034328,55.8646349999975,4826,G3 7EF,49,0,0,49,1,G3 7EF,55.864635,-4.274724,257743,665835,Glasgow Central,Anderston/City/Yorkhill,Anderston - 05,,S01010280,4666
-4.27505099968311,55.864223999947,4827,G3 7EG,44,12,0,32,1,G3 7EG,55.864224,-4.275051,257721,665790,Glasgow Central,Anderston/City/Yorkhill,Anderston - 05,,S01010280,4667
-4.27176299955491,55.8645629998024,4828,G3 7EH,61,0,0,61,1,G3 7EH,55.864563,-4.271763,257928,665821,Glasgow Central,Anderston/City/Yorkhill,Anderston - 06,,S01010281,4668
-4.27577200010656,55.8634380000886,4829,G3 7ER,20,20,1,0,0,G3 7ER,55.863438,-4.275772,257673,665704,Glasgow Central,Anderston/City/Yorkhill,Anderston - 03,,S01010278,4669
-4.27519100032352,55.8633320002414,4830,G3 7ES,16,0,0,16,1,G3 7ES,55.863332,-4.275191,257709,665691,Glasgow Central,Anderston/City/Yorkhill,Anderston - 03,,S01010278,4670
-4.27933700024421,55.8634530002386,4831,G3 7HA,9,6,1,3,0,G3 7HA,55.863453,-4.279337,257450,665713,Glasgow Central,Anderston/City/Yorkhill,Anderston - 04,,S01010279,4671
-4.27987399964631,55.8636050001885,4832,G3 7HB,6,2,0,4,1,G3 7HB,55.863605,-4.279874,257417,665731,Glasgow Central,Anderston/City/Yorkhill,Anderston - 04,,S01010279,4672
-4.28067200006266,55.8638679999074,4833,G3 7HD,34,5,0,29,1,G3 7HD,55.863868,-4.280672,257368,665762,Glasgow Central,Anderston/City/Yorkhill,Anderston - 04,,S01010279,4673
-4.28152999985515,55.864328999759,4834,G3 7HF,46,23,0,23,0,G3 7HF,55.864329,-4.28153,257316,665815,Glasgow Central,Anderston/City/Yorkhill,Finnieston and Kelvinhaugh - 04,,S01010285,4674
-4.28223299983695,55.8645849998202,4835,G3 7HH,48,15,0,33,1,G3 7HH,55.864585,-4.282233,257273,665845,Glasgow Central,Anderston/City/Yorkhill,Finnieston and Kelvinhaugh - 04,,S01010285,4675
-4.28220500024785,55.8649269998686,4836,G3 7HQ,66,48,1,18,0,G3 7HQ,55.864927,-4.282205,257276,665883,Glasgow Central,Anderston/City/Yorkhill,Finnieston and Kelvinhaugh - 04,,S01010285,4676
-4.27763199963158,55.8649039999377,4837,G3 7HR,24,0,0,24,1,G3 7HR,55.864904,-4.277632,257562,665871,Glasgow Central,Anderston/City/Yorkhill,Anderston - 05,,S01010280,4677
-4.27678800008279,55.865472000033,4838,G3 7HS,1,0,0,1,1,G3 7HS,55.865472,-4.276788,257617,665932,Glasgow Central,Anderston/City/Yorkhill,Anderston - 05,,S01010280,4678
-4.27636200011044,55.8652910000523,4839,G3 7HU,33,3,0,30,1,G3 7HU,55.865291,-4.276362,257643,665911,Glasgow Central,Anderston/City/Yorkhill,Anderston - 05,,S01010280,4679
-4.28107000044592,55.8643910001965,4840,G3 7HW,59,51,1,8,0,G3 7HW,55.864391,-4.28107,257345,665821,Glasgow Central,Anderston/City/Yorkhill,Anderston - 04,,S01010279,4680
-4.27766599996678,55.8652090000842,4841,G3 7HY,37,1,0,36,1,G3 7HY,55.865209,-4.277666,257561,665905,Glasgow Central,Anderston/City/Yorkhill,Anderston - 05,,S01010280,4681
-4.28122699990644,55.8654219999249,4842,G3 7JD,1,0,0,1,1,G3 7JD,55.865422,-4.281227,257339,665936,Glasgow Central,Anderston/City/Yorkhill,Anderston - 04,,S01010279,4682
-4.2766900001735,55.8665250002321,4843,G3 7JR,10,0,0,10,1,G3 7JR,55.866525,-4.27669,257627,666049,Glasgow Central,Anderston/City/Yorkhill,Woodlands - 01,,S01010289,4683
-4.27747599999596,55.8662950001949,4844,G3 7JT,5,0,0,5,1,G3 7JT,55.866295,-4.277476,257577,666025,Glasgow Central,Anderston/City/Yorkhill,Woodlands - 01,,S01010289,4684
-4.27941599988692,55.8661649998125,4845,G3 7LD,96,0,0,96,1,G3 7LD,55.866165,-4.279416,257455,666015,Glasgow Central,Anderston/City/Yorkhill,Finnieston and Kelvinhaugh - 07,,S01010288,4685
-4.28015700040184,55.8662600002123,4846,G3 7LE,94,0,0,94,1,G3 7LE,55.86626,-4.280157,257409,666027,Glasgow Central,Anderston/City/Yorkhill,Finnieston and Kelvinhaugh - 07,,S01010288,4686
-4.27949100022999,55.8665989999412,4847,G3 7LH,15,0,0,15,1,G3 7LH,55.866599,-4.279491,257452,666063,Glasgow Central,Anderston/City/Yorkhill,Finnieston and Kelvinhaugh - 07,,S01010288,4687
-4.27304899986788,55.8641439999958,4848,G3 7LL,35,1,0,34,1,G3 7LL,55.864144,-4.273049,257846,665777,Glasgow Central,Anderston/City/Yorkhill,Anderston - 06,,S01010281,4688
-4.27775800002829,55.8667480000043,4849,G3 7LW,18,0,0,18,1,G3 7LW,55.866748,-4.277758,257561,666076,Glasgow Central,Anderston/City/Yorkhill,Woodlands - 01,,S01010289,4689
-4.27873299999663,55.8656520000907,4850,G3 7NB,10,0,0,10,1,G3 7NB,55.865652,-4.278733,257496,665956,Glasgow Central,Anderston/City/Yorkhill,Anderston - 05,,S01010280,4690
-4.2768519996569,55.8657400001402,4851,G3 7NG,15,0,0,15,1,G3 7NG,55.86574,-4.276852,257614,665962,Glasgow Central,Anderston/City/Yorkhill,Anderston - 05,,S01010280,4691
-4.28074999988047,55.8662849999871,4852,G3 7NR,9,0,0,9,1,G3 7NR,55.866285,-4.28075,257372,666031,Glasgow Central,Anderston/City/Yorkhill,Finnieston and Kelvinhaugh - 07,,S01010288,4692
-4.28159699980229,55.8665649997926,4853,G3 7NT,37,0,0,37,1,G3 7NT,55.866565,-4.281597,257320,666064,Glasgow Central,Anderston/City/Yorkhill,Finnieston and Kelvinhaugh - 07,,S01010288,4693
-4.28279899955138,55.866592000002,4854,G3 7NY,15,0,0,15,1,G3 7NY,55.866592,-4.282799,257245,666069,Glasgow Central,Anderston/City/Yorkhill,Finnieston and Kelvinhaugh - 07,,S01010288,4694
-4.28203700001834,55.8661529999259,4855,G3 7PA,5,0,0,5,1,G3 7PA,55.866153,-4.282037,257291,666019,Glasgow Central,Anderston/City/Yorkhill,Finnieston and Kelvinhaugh - 07,,S01010288,4695
-4.27439999957986,55.8656329999336,4856,G3 7PB,2,0,0,2,1,G3 7PB,55.865633,-4.2744,257767,665945,Glasgow Central,Anderston/City/Yorkhill,Anderston - 05,,S01010280,4696
-4.27514500029275,55.865789999839,4857,G3 7PJ,21,0,0,21,1,G3 7PJ,55.86579,-4.275145,257721,665964,Glasgow Central,Anderston/City/Yorkhill,Anderston - 05,,S01010280,4697
-4.27301600025593,55.8660409999652,4858,G3 7PQ,14,0,0,14,1,G3 7PQ,55.866041,-4.273016,257855,665988,Glasgow Central,Anderston/City/Yorkhill,Anderston - 05,,S01010280,4698
-4.27521399988974,55.8664359998773,4859,G3 7PR,7,0,0,7,1,G3 7PR,55.866436,-4.275214,257719,666036,Glasgow Central,Anderston/City/Yorkhill,Woodlands - 01,,S01010289,4699
-4.27355799968091,55.8665289999883,4860,G3 7PY,2,0,0,2,1,G3 7PY,55.866529,-4.273558,257823,666043,Glasgow Central,Anderston/City/Yorkhill,Woodlands - 01,,S01010289,4700
-4.27299500033952,55.8670569999911,4861,G3 7QF,11,0,0,11,1,G3 7QF,55.867057,-4.272995,257860,666101,Glasgow Central,Anderston/City/Yorkhill,Woodlands - 01,,S01010289,4701
-4.27485900006248,55.8669190002078,4862,G3 7QL,12,0,0,12,1,G3 7QL,55.866919,-4.274859,257743,666089,Glasgow Central,Anderston/City/Yorkhill,Woodlands - 01,,S01010289,4702
-4.25109599970066,55.8816510001234,4863,G22 5AY,11,11,1,0,0,G22 5AY,55.881651,-4.251096,259283,667680,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4013
-4.29124600010177,55.9041879997968,4864,G23 5JB,47,20,0,27,1,G23 5JB,55.904188,-4.291246,256855,670270,Glasgow North,Maryhill,Summerston North - 03,,S01010348,4455
-4.29096700044251,55.9046060000372,4865,G23 5JD,21,9,0,12,1,G23 5JD,55.904606,-4.290967,256874,670316,Glasgow North,Maryhill,Summerston North - 03,,S01010348,4456
-4.29170300003626,55.9043320001666,4866,G23 5JG,21,8,0,13,1,G23 5JG,55.904332,-4.291703,256827,670287,Glasgow North,Maryhill,Summerston North - 03,,S01010348,4457
-4.28357299967827,55.9015620001981,4867,G23 5JH,53,0,0,53,1,G23 5JH,55.901562,-4.283573,257325,669962,Glasgow North,Maryhill,Summerston Central and West - 03,,S01010342,4458
-4.28576700001244,55.9010719998949,4868,G23 5JJ,19,0,0,19,1,G23 5JJ,55.901072,-4.285767,257186,669912,Glasgow North,Maryhill,Summerston Central and West - 03,,S01010342,4459
-4.28734200003042,55.9060849999993,4869,G23 5JL,28,0,0,28,1,G23 5JL,55.906085,-4.287342,257106,670473,Glasgow North,Maryhill,Summerston North - 03,,S01010348,4460
-4.28861300027476,55.9062050001823,4870,G23 5JN,5,0,0,5,1,G23 5JN,55.906205,-4.288613,257027,670489,Glasgow North,Maryhill,Summerston North - 03,,S01010348,4461
-4.28655299983489,55.9062699998746,4871,G23 5JP,8,0,0,8,1,G23 5JP,55.90627,-4.286553,257156,670492,Glasgow North,Maryhill,Summerston Central and West - 04,,S01010343,4462
-4.2860039998389,55.9026490000978,4872,G23 5JR,17,0,0,17,1,G23 5JR,55.902649,-4.286004,257177,670088,Glasgow North,Maryhill,Summerston Central and West - 02,,S01010341,4463
-4.28487599970968,55.9022299997651,4873,G23 5JT,29,0,0,29,1,G23 5JT,55.90223,-4.284876,257246,670039,Glasgow North,Maryhill,Summerston Central and West - 03,,S01010342,4464
-4.28763999995625,55.9043449999359,4874,G23 5JW,27,7,0,20,1,G23 5JW,55.904345,-4.28764,257081,670280,Glasgow North,Maryhill,Summerston Central and West - 02,,S01010341,4465
-4.28663499985068,55.9019460001427,4875,G23 5JX,30,0,0,30,1,G23 5JX,55.901946,-4.286635,257135,670011,Glasgow North,Maryhill,Summerston Central and West - 02,,S01010341,4466
-4.28497199996913,55.9016979999208,4876,G23 5JZ,26,0,0,26,1,G23 5JZ,55.901698,-4.284972,257238,669980,Glasgow North,Maryhill,Summerston Central and West - 03,,S01010342,4467
-4.28354300043934,55.8980430001074,4877,G23 5LA,4,2,0,2,0,G23 5LA,55.898043,-4.283543,257314,669570,Glasgow North,Maryhill,Summerston North - 04,,S01010349,4468
-4.28213300027782,55.898299000045,4878,G23 5LD,32,26,1,6,0,G23 5LD,55.898299,-4.282133,257403,669596,Glasgow North,Canal,Summerston Central and West - 01,,S01010340,4469
-4.28278699985582,55.8976969999981,4879,G23 5LF,2,2,1,0,0,G23 5LF,55.897697,-4.282787,257360,669530,Glasgow North,Canal,Maryhill East - 02,,S01010351,4470
-4.28114900008863,55.9060649999327,4880,G23 5LG,20,0,0,20,1,G23 5LG,55.906065,-4.281149,257493,670458,Glasgow North,Maryhill,Summerston Central and West - 04,,S01010343,4471
-4.28536199995647,55.9056089998458,4881,G23 5LJ,8,0,0,8,1,G23 5LJ,55.905609,-4.285362,257228,670416,Glasgow North,Maryhill,Summerston Central and West - 04,,S01010343,4472
-4.28291699955214,55.9062030000816,4882,G23 5LL,10,0,0,10,1,G23 5LL,55.906203,-4.282917,257383,670477,Glasgow North,Maryhill,Summerston Central and West - 04,,S01010343,4473
-4.28755499956743,55.9001939997819,4883,G23 5LN,19,0,0,19,1,G23 5LN,55.900194,-4.287555,257071,669818,Glasgow North,Maryhill,Summerston Central and West - 03,,S01010342,4474
-4.28417899957566,55.9018109999423,4884,G23 5LP,22,0,0,22,1,G23 5LP,55.901811,-4.284179,257288,669991,Glasgow North,Maryhill,Summerston Central and West - 03,,S01010342,4475
-4.28998099970518,55.9038880001629,4885,G23 5LQ,16,13,1,3,0,G23 5LQ,55.903888,-4.289981,256933,670234,Glasgow North,Maryhill,Summerston North - 03,,S01010348,4476
-4.28840099966435,55.8993419998165,4886,G23 5LS,31,29,1,2,0,G23 5LS,55.899342,-4.288401,257015,669725,Glasgow North,Maryhill,Summerston North - 04,,S01010349,4477
-4.28704800030253,55.9008229999394,4887,G23 5LU,24,0,0,24,1,G23 5LU,55.900823,-4.287048,257105,669887,Glasgow North,Maryhill,Summerston Central and West - 03,,S01010342,4478
-4.2985429998833,55.9052919998797,4888,G23 5NA,2,0,0,2,1,G23 5NA,55.905292,-4.298543,256403,670408,Glasgow North,Maryhill,Summerston North - 02,,S01010347,4479
-4.28554500025457,55.9092219999352,4889,G23 5NB,12,0,0,12,1,G23 5NB,55.909222,-4.285545,257230,670818,Glasgow North,Canal,Summerston Central and West - 06,,S01010345,4480
