Index,Lat_Start,Lon_Start,Elevation,Lat_End,Lon_End,Lat_Start_Rad,Lon_Start_Rad,Lat_End_Rad,Lon_End_Rad,Distance_Km,RT_Km,PointSize
48,58.32448,-3.19777,73,58.32093,-3.20279,1.017954211,-0.055811615,1.017892251,-0.055899231,0.491676736,41.71573111,1
49,58.32093,-3.20279,76,58.31752,-3.20736,1.017892251,-0.055899231,1.017832736,-0.055978992,0.463678613,42.17940972,1
50,58.31752,-3.20736,73,58.31154,-3.21762,1.017832736,-0.055978992,1.017728365,-0.056158063,0.895123102,43.07453282,1
51,58.31154,-3.21762,75,58.30821,-3.23694,1.017728365,-0.056158063,1.017670245,-0.056495261,1.187740701,44.26227353,1
52,58.30821,-3.23694,68,58.3062,-3.24695,1.017670245,-0.056495261,1.017635164,-0.056669968,0.626019854,44.88829338,1
53,58.3062,-3.24695,69,58.30721,-3.25839,1.017635164,-0.056669968,1.017652792,-0.056869634,0.677680715,45.56597409,1
54,58.30721,-3.25839,75,58.30883,-3.26375,1.017652792,-0.056869634,1.017681066,-0.056963183,0.361231815,45.92720591,1
55,58.30883,-3.26375,86,58.31031,-3.27745,1.017681066,-0.056963183,1.017706897,-0.057202294,0.817017312,46.74422322,1
56,58.31031,-3.27745,80,58.30687,-3.29179,1.017706897,-0.057202294,1.017646858,-0.057452574,0.920880852,47.66510407,1
57,58.30687,-3.29179,67,58.29765,-3.32022,1.017646858,-0.057452574,1.017485939,-0.057948771,1.951964653,49.61706873,1
58,58.29765,-3.32022,74,58.28489,-3.35254,1.017485939,-0.057948771,1.017263235,-0.058512861,2.362442076,51.9795108,1
59,58.28489,-3.35254,82,58.28317,-3.36636,1.017263235,-0.058512861,1.017233215,-0.058754066,0.830194423,52.80970523,1
60,58.28317,-3.36636,82,58.28246,-3.3685,1.017233215,-0.058754066,1.017220823,-0.058791416,0.147928936,52.95763416,1
61,58.28246,-3.3685,80,58.27943,-3.36946,1.017220823,-0.058791416,1.01716794,-0.058808171,0.34156298,53.29919714,1
62,58.27943,-3.36946,81,58.27721,-3.37434,1.01716794,-0.058808171,1.017129193,-0.058893343,0.377278703,53.67647584,1
63,58.27721,-3.37434,86,58.2759,-3.3893,1.017129193,-0.058893343,1.01710633,-0.059154444,0.886734755,54.5632106,1
64,58.2759,-3.3893,47,58.27149,-3.39275,1.01710633,-0.059154444,1.017029361,-0.059214658,0.530243717,55.09345432,1
65,58.27149,-3.39275,62,58.26525,-3.39539,1.017029361,-0.059214658,1.016920452,-0.059260735,0.710826045,55.80428036,1
66,58.26525,-3.39539,88,58.25836,-3.40727,1.016920452,-0.059260735,1.016800199,-0.05946808,1.034330089,56.83861045,1
67,58.25836,-3.40727,90,58.25272,-3.41724,1.016800199,-0.05946808,1.016701762,-0.059642089,0.85645517,57.69506562,1
68,58.25272,-3.41724,63,58.24884,-3.43255,1.016701762,-0.059642089,1.016634043,-0.059909299,0.994284611,58.68935023,1
69,58.24884,-3.43255,12,58.24386,-3.44432,1.016634043,-0.059909299,1.016547126,-0.060114724,0.883759823,59.57311005,1
70,58.24386,-3.44432,89,58.24109,-3.44544,1.016547126,-0.060114724,1.01649878,-0.060134272,0.314907324,59.88801738,1
71,58.24109,-3.44544,96,58.23436,-3.44446,1.01649878,-0.060134272,1.01638132,-0.060117168,0.750537092,60.63855447,1
72,58.23436,-3.44446,92,58.23065,-3.44652,1.01638132,-0.060117168,1.016316568,-0.060153122,0.429798485,61.06835295,1
73,58.23065,-3.44652,98,58.22959,-3.44694,1.016316568,-0.060153122,1.016298068,-0.060160452,0.120404122,61.18875708,1
74,58.22959,-3.44694,102,58.22671,-3.45105,1.016298068,-0.060160452,1.016247802,-0.060232185,0.400573547,61.58933062,1
75,58.22671,-3.45105,108,58.22075,-3.46318,1.016247802,-0.060232185,1.01614378,-0.060443894,0.971441264,62.56077189,1
76,58.22075,-3.46318,125,58.21524,-3.47838,1.01614378,-0.060443894,1.016047613,-0.060709184,1.080657134,63.64142902,1
77,58.21524,-3.47838,134,58.21353,-3.47982,1.016047613,-0.060709184,1.016017768,-0.060734316,0.208009889,63.84943891,1
78,58.21353,-3.47982,136,58.20941,-3.47986,1.016017768,-0.060734316,1.01594586,-0.060735015,0.458129086,64.307568,1
79,58.20941,-3.47986,142,58.20785,-3.47941,1.01594586,-0.060735015,1.015918633,-0.060727161,0.175455687,64.48302368,1
80,58.20785,-3.47941,142,58.20545,-3.47975,1.015918633,-0.060727161,1.015876745,-0.060733095,0.267610127,64.75063381,1
81,58.20545,-3.47975,143,58.19826,-3.48099,1.015876745,-0.060733095,1.015751256,-0.060754737,0.802785943,65.55341975,1
82,58.19826,-3.48099,154,58.19483,-3.48859,1.015751256,-0.060754737,1.015691391,-0.060887382,0.586356438,66.13977619,1
83,58.19483,-3.48859,147,58.19265,-3.49097,1.015691391,-0.060887382,1.015653343,-0.060928921,0.279669269,66.41944546,1
84,58.19265,-3.49097,137,58.19054,-3.49398,1.015653343,-0.060928921,1.015616517,-0.060981455,0.293544516,66.71298998,1
85,58.19054,-3.49398,117,58.18846,-3.49718,1.015616517,-0.060981455,1.015580214,-0.061037306,0.297777225,67.0107672,1
