X,Y,OBJECTID,ACCIDENT_INDEX,POLICE_FORCE,ACCIDENT_SEVERITY,NUMBER_OF_VEHICLES,NUMBER_OF_CASUALTIES,DATE_,DAY_OF_WEEK,TIME,LOCAL_AUTHORITY__DISTRICT_,LOCAL_AUTHORITY__HIGHWAY_,ROAD_TYPE,SPEED_LIMIT,JUNCTION_DETAIL,JUNCTION_CONTROL,PEDESTRIAN_CROSSING_HUMAN_CONT,PEDESTRIAN_CROSSING_PHYSICAL_F,LIGHT_CONDITIONS,WEATHER_CONDITIONS,ROAD_SURFACE_CONDITIONS,SPECIAL_CONDITIONS_AT_SITE,CARRIAGEWAY_HAZARDS,URBAN_OR_RURAL_AREA,DID_POLICE_OFFICER_ATTEND_SCEN,LOCATION_EASTING_OSGR,LOCATION_NORTHING_OSGR,LONGITUDE,LATITUDE,CASUALITY_TYPE,FIRST_ROAD_CLASS,FIRST_ROAD_NUMBER,SECOND_ROAD_CLASS,SECOND_ROAD_NUMBER
-4.342660819,55.82622302,1051,201497GB22410,Police Scotland,Slight,2,1,2014/10/31 00:00:00+00,Friday,1900/01/01 16:45:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,No,253350,661698,-4.342661,55.826223,,Unclassified,0,,0
-4.345057816,55.82413703,1052,201497GB22504,Police Scotland,Slight,2,1,2014/04/29 00:00:00+00,Tuesday,1900/01/01 18:45:00+00,Glasgow,Glasgow,Dual carriageway,30,Other junction,Auto traffic signal,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,253192,661471,-4.345058,55.824137,,B,762,Unclassified,0
-4.326971822,55.80147202,1053,201497GB22605,Police Scotland,Slight,2,1,2014/05/29 00:00:00+00,Thursday,1900/01/01 16:45:00+00,Glasgow,Glasgow,Dual carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,Other object on road,Urban,Yes,254240,658911,-4.326972,55.801472,,A,727,Unclassified,0
-4.353408822,55.81013603,1054,201497GB22609,Police Scotland,Slight,2,1,2014/09/22 00:00:00+00,Monday,1900/01/01 12:25:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,252616,659931,-4.353409,55.810136,,A,726,,0
-4.36348382,55.81651303,1055,201497GB22611,Police Scotland,Slight,1,1,2014/11/28 00:00:00+00,Friday,1900/01/01 16:45:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Other,Wet or damp,None,None,Urban,Yes,252009,660662,-4.363484,55.816513,,A,726,,0
-4.361081824,55.81349403,1056,201497GB22801,Police Scotland,Slight,1,1,2014/01/24 00:00:00+00,Friday,1900/01/01 09:00:00+00,Glasgow,Glasgow,Single carriageway,20,T or staggered junction,Give way or uncontrolled,Control by school crossing patrol,No physical crossing facilities within 50 metres,Daylight,Unknown,Wet or damp,None,None,Urban,No,252148,660321,-4.361082,55.813494,,Unclassified,0,A,726
-4.287231826,55.82282702,1057,201497GB22905,Police Scotland,Slight,2,1,2014/05/30 00:00:00+00,Friday,1900/01/01 23:35:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,256809,661204,-4.287232,55.822827,,A,77,Unclassified,0
-4.361501821,55.81514903,1058,201497GB22909,Police Scotland,Serious,1,1,2014/09/26 00:00:00+00,Friday,1900/01/01 16:15:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,252128,660506,-4.361502,55.815149,,Unclassified,0,,0
-4.345830816,55.82423903,1059,201497GB23009,Police Scotland,Slight,2,1,2014/09/27 00:00:00+00,Saturday,1900/01/01 20:40:00+00,Glasgow,Glasgow,Roundabout,30,Roundabout,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,No,253144,661484,-4.345831,55.824239,,Unclassified,0,B,762
-4.360411824,55.81349803,1060,201497GB70102,Police Scotland,Fatal,1,1,2014/02/20 00:00:00+00,Thursday,1900/01/01 23:20:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,252190,660320,-4.360412,55.813498,,A,726,Unclassified,0
-4.287253824,55.82129802,1061,201497GB70103,Police Scotland,Slight,2,1,2014/03/13 00:00:00+00,Thursday,1900/01/01 21:25:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,256802,661034,-4.287254,55.821298,,Unclassified,0,A,77
-4.343643816,55.82398402,1062,201497GB70109,Police Scotland,Slight,2,1,2014/09/10 00:00:00+00,Wednesday,1900/01/01 17:45:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,253280,661451,-4.343644,55.823984,,B,762,,0
-4.338295816,55.82027502,1063,201497GB70110,Police Scotland,Slight,2,1,2014/10/08 00:00:00+00,Wednesday,1900/01/01 12:25:00+00,Glasgow,Glasgow,Dual carriageway,50,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,253601,661027,-4.338296,55.820275,,Motorway,77,,0
-4.280749826,55.82038602,1064,201497GB70111,Police Scotland,Slight,2,1,2014/11/05 00:00:00+00,Wednesday,1900/01/01 17:30:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,257206,660919,-4.28075,55.820386,,Unclassified,0,Unclassified,0
-4.36004882,55.81488003,1065,201497GB70112,Police Scotland,Slight,1,1,2014/12/04 00:00:00+00,Thursday,1900/01/01 16:25:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,Pedestrian phase at traffic signal junction,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,252218,660473,-4.360049,55.81488,,Unclassified,0,,0
-4.33654483,55.80171303,1066,201497GB70201,Police Scotland,Slight,3,1,2014/01/10 00:00:00+00,Friday,1900/01/01 07:45:00+00,Glasgow,Glasgow,Dual carriageway,60,Slip road,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Rural,Yes,253641,658958,-4.336545,55.801713,,Motorway,77,A,726
-4.343586818,55.82543302,1067,201497GB70210,Police Scotland,Slight,2,1,2014/10/09 00:00:00+00,Thursday,1900/01/01 16:55:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,Oil or diesel,None,Urban,Yes,253289,661612,-4.343587,55.825433,,Unclassified,0,,0
-4.344431817,55.82408603,1068,201497GB70301,Police Scotland,Fatal,1,2,2014/01/18 00:00:00+00,Saturday,1900/01/01 16:43:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,253231,661464,-4.344432,55.824086,,B,762,,0
-4.340795822,55.80767203,1069,201497GB70311,Police Scotland,Slight,2,1,2014/11/12 00:00:00+00,Wednesday,1900/01/01 22:45:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,253397,659630,-4.340796,55.807672,,Unclassified,0,,0
-4.360859821,55.81456803,1070,201497GB70401,Police Scotland,Slight,1,1,2014/01/26 00:00:00+00,Sunday,1900/01/01 17:22:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Darkness - lights lit,Raining + high winds,Wet or damp,None,None,Urban,Yes,252166,660440,-4.36086,55.814568,,A,726,Unclassified,0
-4.244086819,55.80358803,1071,201497GD00107,Police Scotland,Slight,2,3,2014/07/01 00:00:00+00,Tuesday,1900/01/01 10:00:00+00,Glasgow,Glasgow,Dual carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,259442,658975,-4.244087,55.803588,,Unclassified,0,Unclassified,0
-4.246753823,55.82688903,1072,201497GD00108,Police Scotland,Serious,1,2,2014/08/04 00:00:00+00,Monday,1900/01/01 22:20:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,Zebra,Darkness - lights lit,Fine no high winds,Dry,Road sign or marking defective or obscured,Other object on road,Urban,Yes,259359,661573,-4.246754,55.826889,,A,728,,0
-4.270001823,55.81153403,1073,201497GD00112,Police Scotland,Slight,2,1,2014/12/01 00:00:00+00,Monday,1900/01/01 15:55:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,257847,659912,-4.270002,55.811534,,B,767,Unclassified,0
-4.272816832,55.82614102,1074,201497GD00201,Police Scotland,Serious,2,2,2014/01/01 00:00:00+00,Wednesday,1900/01/01 16:50:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,257724,661543,-4.272817,55.826141,,Unclassified,0,Unclassified,0
-4.244143819,55.80956403,1075,201497GD00210,Police Scotland,Slight,2,1,2014/10/03 00:00:00+00,Friday,1900/01/01 15:55:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,259460,659640,-4.244144,55.809564,,B,766,,0
-4.254031827,55.82048303,1076,201497GD00306,Police Scotland,Slight,2,1,2014/06/05 00:00:00+00,Thursday,1900/01/01 09:05:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,258880,660875,-4.254032,55.820483,,B,762,,0
-4.231874816,55.80797202,1077,201497GD00308,Police Scotland,Serious,1,1,2014/08/07 00:00:00+00,Thursday,1900/01/01 18:30:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,260223,659438,-4.231875,55.807972,,Unclassified,0,Unclassified,0
-4.260962832,55.82273703,1078,201497GD00404,Police Scotland,Slight,2,1,2014/04/10 00:00:00+00,Thursday,1900/01/01 14:05:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,Roadworks,None,Urban,Yes,258454,661140,-4.260963,55.822737,,Unclassified,0,Unclassified,0
-4.255825828,55.81867003,1079,201497GD00405,Police Scotland,Slight,2,1,2014/05/19 00:00:00+00,Monday,1900/01/01 19:25:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Fine no high winds,Dry,None,None,Urban,No,258761,660677,-4.255826,55.81867,,B,762,Unclassified,0
-4.27098783,55.82790902,1080,201497GD00408,Police Scotland,Slight,2,1,2014/08/08 00:00:00+00,Friday,1900/01/01 16:45:00+00,Glasgow,Glasgow,Single carriageway,30,Roundabout,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,257845,661736,-4.270988,55.827909,,Unclassified,0,Unclassified,0
-4.27214183,55.82798702,1081,201497GD00511,Police Scotland,Slight,1,1,2014/11/06 00:00:00+00,Thursday,1900/01/01 21:00:00+00,Glasgow,Glasgow,One way street,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,257773,661747,-4.272142,55.827987,,Unclassified,0,B,766
-4.255617829,55.81864703,1082,201497GD00604,Police Scotland,Slight,2,1,2014/04/10 00:00:00+00,Thursday,1900/01/01 20:00:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,258774,660674,-4.255618,55.818647,,B,762,Unclassified,0
-4.230290816,55.81041802,1083,201497GD00705,Police Scotland,Slight,2,1,2014/05/23 00:00:00+00,Friday,1900/01/01 11:00:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,260331,659707,-4.230291,55.810418,,Unclassified,0,,0
-4.266012839,55.82693202,1084,201497GD00801,Police Scotland,Slight,1,1,2014/01/07 00:00:00+00,Tuesday,1900/01/01 12:00:00+00,Glasgow,Glasgow,Dual carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,258153,661617,-4.266013,55.826932,,B,768,Unclassified,0
-4.247845833,55.81675802,1085,201497GD00802,Police Scotland,Slight,2,1,2014/02/11 00:00:00+00,Tuesday,1900/01/01 14:30:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,259254,660448,-4.247846,55.816758,,B,766,,0
-4.229381818,55.81767902,1086,201497GD00805,Police Scotland,Slight,2,1,2014/05/24 00:00:00+00,Saturday,1900/01/01 13:30:00+00,Glasgow,Glasgow,Dual carriageway,20,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,260414,660513,-4.229382,55.817679,,Unclassified,0,,0
-4.257252828,55.82538503,1087,201497GD00809,Police Scotland,Serious,2,1,2014/09/11 00:00:00+00,Thursday,1900/01/01 10:30:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,258696,661427,-4.257253,55.825385,,B,766,Unclassified,0
-4.258427831,55.84124502,1088,201497GD01006,Police Scotland,Slight,1,1,2014/06/10 00:00:00+00,Tuesday,1900/01/01 15:30:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,258680,663194,-4.258428,55.841245,,Unclassified,0,,0
-4.215374822,55.80491803,1089,201497GD01102,Police Scotland,Slight,2,1,2014/02/12 00:00:00+00,Wednesday,1900/01/01 07:45:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Frost or ice,None,None,Urban,No,261246,659065,-4.215375,55.804918,,Unclassified,0,Unclassified,0
-4.235803817,55.80469202,1090,201497GD01103,Police Scotland,Serious,1,2,2014/03/20 00:00:00+00,Thursday,1900/01/01 21:00:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine + high winds,Wet or damp,None,None,Urban,Yes,259965,659081,-4.235804,55.804692,,Unclassified,0,Unclassified,0
-4.258069829,55.82405803,1091,201497GD01110,Police Scotland,Slight,2,2,2014/10/14 00:00:00+00,Tuesday,1900/01/01 01:15:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,No,258640,661281,-4.25807,55.824058,,B,766,B,766
-4.250445829,55.82032403,1092,201497GD01112,Police Scotland,Slight,2,2,2014/12/08 00:00:00+00,Monday,1900/01/01 20:00:00+00,Glasgow,Glasgow,Dual carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Darkness - lights lit,Fine + high winds,Wet or damp,None,None,Urban,Yes,259104,660850,-4.250446,55.820324,,B,762,B,766
-4.280460831,55.83071802,1093,201497GD01201,Police Scotland,Slight,1,1,2014/01/11 00:00:00+00,Saturday,1900/01/01 00:30:00+00,Glasgow,Glasgow,Single carriageway,30,More than 4 arms (not roundabout),Auto traffic signal,Control by other authorised person,Pedestrian phase at traffic signal junction,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,257262,662068,-4.280461,55.830718,,A,77,Unclassified,0
-4.266450838,55.82733702,1094,201497GD01202,Police Scotland,Slight,1,1,2014/02/12 00:00:00+00,Wednesday,1900/01/01 18:30:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,258127,661663,-4.266451,55.827337,,Unclassified,0,Unclassified,0
-4.251517822,55.82174203,1095,201497GD01207,Police Scotland,Slight,2,2,2014/07/26 00:00:00+00,Saturday,1900/01/01 17:30:00+00,Glasgow,Glasgow,Dual carriageway,30,Crossroads,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,259042,661010,-4.251518,55.821742,,Unclassified,0,Unclassified,0
-4.26123183,55.82791803,1096,201497GD01212,Police Scotland,Slight,2,1,2014/12/09 00:00:00+00,Tuesday,1900/01/01 11:25:00+00,Glasgow,Glasgow,Dual carriageway,30,Other junction,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Raining + high winds,Wet or damp,None,None,Urban,Yes,258456,661717,-4.261232,55.827918,,Unclassified,0,B,768
-4.257728827,55.82643703,1097,201497GD01301,Police Scotland,Serious,2,1,2014/01/15 00:00:00+00,Wednesday,1900/01/01 20:00:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,258670,661545,-4.257729,55.826437,,Unclassified,0,,0
-4.258500829,55.82350203,1098,201497GD01303,Police Scotland,Slight,2,1,2014/03/24 00:00:00+00,Monday,1900/01/01 16:20:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,258611,661220,-4.258501,55.823502,,Unclassified,0,B,766
-4.24447782,55.81037603,1099,201497GD01304,Police Scotland,Slight,1,1,2014/04/26 00:00:00+00,Saturday,1900/01/01 23:10:00+00,Glasgow,Glasgow,Single carriageway,30,Roundabout,Give way or uncontrolled,None within 50 metres ,Pedestrian phase at traffic signal junction,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,259442,659731,-4.244478,55.810376,,B,766,Unclassified,0
-4.256718828,55.81864503,1100,201497GD01310,Police Scotland,Slight,2,2,2014/10/17 00:00:00+00,Friday,1900/01/01 11:20:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,258705,660676,-4.256719,55.818645,,B,762,B,762
-4.271393821,55.81159803,1101,201497GD01311,Police Scotland,Slight,1,1,2014/11/13 00:00:00+00,Thursday,1900/01/01 16:50:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights unlit,Raining no high winds,Wet or damp,None,None,Urban,No,257760,659922,-4.271394,55.811598,,B,767,Unclassified,0
-4.250400831,55.81843703,1102,201497GD01406,Police Scotland,Slight,2,1,2014/06/16 00:00:00+00,Monday,1900/01/01 17:00:00+00,Glasgow,Glasgow,Dual carriageway,30,More than 4 arms (not roundabout),Auto traffic signal,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,259100,660640,-4.250401,55.818437,,B,766,Unclassified,0
-4.237146821,55.82114202,1103,201497GD01407,Police Scotland,Slight,2,1,2014/07/30 00:00:00+00,Wednesday,1900/01/01 18:50:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,259940,660914,-4.237147,55.821142,,Unclassified,0,Unclassified,0
-4.262427835,55.82513703,1104,201497GD01409,Police Scotland,Slight,3,2,2014/09/19 00:00:00+00,Friday,1900/01/01 15:20:00+00,Glasgow,Glasgow,Dual carriageway,30,Other junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,258371,661410,-4.262428,55.825137,,Unclassified,0,Unclassified,0
-4.249851832,55.82026302,1105,201497GD01411,Police Scotland,Slight,2,1,2014/11/13 00:00:00+00,Thursday,1900/01/01 17:10:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,No,259141,660842,-4.249852,55.820263,,B,762,,0
-4.273722829,55.82881102,1106,201497GD01506,Police Scotland,Slight,2,1,2014/06/17 00:00:00+00,Tuesday,1900/01/01 19:15:00+00,Glasgow,Glasgow,Single carriageway,30,Private drive or entrance,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,257677,661842,-4.273723,55.828811,,Unclassified,0,Unclassified,0
-4.268448831,55.82736303,1108,201497GD01608,Police Scotland,Slight,2,1,2014/08/30 00:00:00+00,Saturday,1900/01/01 16:40:00+00,Glasgow,Glasgow,Single carriageway,30,Other junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,258002,661670,-4.268449,55.827363,,B,766,Unclassified,0
-4.255443828,55.81867703,1109,201497GD01609,Police Scotland,Slight,2,2,2014/09/23 00:00:00+00,Tuesday,1900/01/01 21:25:00+00,Glasgow,Glasgow,Dual carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,258785,660677,-4.255444,55.818677,,Unclassified,0,B,766
-4.281608833,55.83013902,1110,201497GD01611,Police Scotland,Slight,1,1,2014/11/17 00:00:00+00,Monday,1900/01/01 14:23:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,257188,662006,-4.281609,55.830139,,A,77,,0
-4.250655828,55.82036503,1111,201497GD01711,Police Scotland,Slight,2,1,2014/11/20 00:00:00+00,Thursday,1900/01/01 08:11:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,259091,660855,-4.250656,55.820365,,A,728,B,766
-4.27061683,55.82785302,1112,201497GD01809,Police Scotland,Slight,3,2,2014/09/26 00:00:00+00,Friday,1900/01/01 13:00:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,257868,661729,-4.270617,55.827853,,Unclassified,0,,0
-4.225976816,55.81032602,1113,201497GD01901,Police Scotland,Slight,1,1,2014/01/28 00:00:00+00,Tuesday,1900/01/01 15:05:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Control by school crossing patrol,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,260601,659688,-4.225977,55.810326,,Unclassified,0,,0
-4.265993838,55.82715702,1114,201497GD01906,Police Scotland,Serious,1,1,2014/06/19 00:00:00+00,Thursday,1900/01/01 16:10:00+00,Glasgow,Glasgow,One way street,30,More than 4 arms (not roundabout),Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,258155,661642,-4.265994,55.827157,,Unclassified,0,B,766
-4.248366828,55.82329203,1115,201497GD01911,Police Scotland,Slight,1,1,2014/11/20 00:00:00+00,Thursday,1900/01/01 23:30:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,259245,661176,-4.248367,55.823292,,Unclassified,0,,0
-4.253471824,55.82323403,1116,201497GD02102,Police Scotland,Slight,2,2,2014/02/21 00:00:00+00,Friday,1900/01/01 13:10:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,258925,661180,-4.253472,55.823234,,Unclassified,0,Unclassified,0
-4.248964834,55.81705202,1117,201497GD02110,Police Scotland,Slight,2,1,2014/10/27 00:00:00+00,Monday,1900/01/01 06:40:00+00,Glasgow,Glasgow,Roundabout,30,Roundabout,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,No,259185,660483,-4.248965,55.817052,,B,766,Unclassified,0
