X,Y,OBJECTID,ACCIDENT_INDEX,POLICE_FORCE,ACCIDENT_SEVERITY,NUMBER_OF_VEHICLES,NUMBER_OF_CASUALTIES,DATE_,DAY_OF_WEEK,TIME,LOCAL_AUTHORITY__DISTRICT_,LOCAL_AUTHORITY__HIGHWAY_,ROAD_TYPE,SPEED_LIMIT,JUNCTION_DETAIL,JUNCTION_CONTROL,PEDESTRIAN_CROSSING_HUMAN_CONT,PEDESTRIAN_CROSSING_PHYSICAL_F,LIGHT_CONDITIONS,WEATHER_CONDITIONS,ROAD_SURFACE_CONDITIONS,SPECIAL_CONDITIONS_AT_SITE,CARRIAGEWAY_HAZARDS,URBAN_OR_RURAL_AREA,DID_POLICE_OFFICER_ATTEND_SCEN,LOCATION_EASTING_OSGR,LOCATION_NORTHING_OSGR,LONGITUDE,LATITUDE,CASUALITY_TYPE,FIRST_ROAD_CLASS,FIRST_ROAD_NUMBER,SECOND_ROAD_CLASS,SECOND_ROAD_NUMBER
-4.236934816,55.86387303,14,201497AB00506,Police Scotland,Slight,2,1,2014/06/06 00:00:00+00,Friday,1900/01/01 16:10:00+00,Glasgow,Glasgow,Dual carriageway,30,Slip road,Auto traffic signal,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,260107,665668,-4.236935,55.863873,,A,8,Unclassified,0
-4.24865081,55.86555603,15,201497AB00508,Police Scotland,Slight,1,1,2014/08/05 00:00:00+00,Tuesday,1900/01/01 11:55:00+00,Glasgow,Glasgow,Dual carriageway,30,T or staggered junction,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,259380,665879,-4.248651,55.865556,,Unclassified,0,Unclassified,0
-4.257924824,55.86066703,16,201497AB00510,Police Scotland,Slight,2,1,2014/10/07 00:00:00+00,Tuesday,1900/01/01 10:45:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Give way or uncontrolled,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,258782,665354,-4.257925,55.860667,,Unclassified,0,Unclassified,0
-4.234272816,55.86149403,17,201497AB00511,Police Scotland,Slight,2,2,2014/11/03 00:00:00+00,Monday,1900/01/01 15:00:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,260265,665398,-4.234273,55.861494,,Unclassified,0,Unclassified,0
-4.252209813,55.86492403,18,201497AB00602,Police Scotland,Slight,1,1,2014/02/10 00:00:00+00,Monday,1900/01/01 16:15:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,259155,665816,-4.25221,55.864924,,Unclassified,0,,0
-4.256849831,55.85838602,19,201497AB00607,Police Scotland,Slight,1,1,2014/07/08 00:00:00+00,Tuesday,1900/01/01 21:00:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,258841,665098,-4.25685,55.858386,,Unclassified,0,Unclassified,0
-4.254965816,55.87000603,20,201497AB00701,Police Scotland,Slight,2,2,2014/01/13 00:00:00+00,Monday,1900/01/01 09:15:00+00,Glasgow,Glasgow,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,259001,666387,-4.254966,55.870006,,A,804,,0
-4.244429827,55.85943102,21,201497AB00702,Police Scotland,Serious,1,1,2014/02/11 00:00:00+00,Tuesday,1900/01/01 16:20:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Snowing + high winds,Snow,None,None,Urban,Yes,259622,665189,-4.24443,55.859431,,Unclassified,0,,0
-4.245200828,55.85700802,22,201497AB00806,Police Scotland,Slight,1,1,2014/06/16 00:00:00+00,Monday,1900/01/01 14:45:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,259565,664921,-4.245201,55.857008,,Unclassified,0,Unclassified,0
-4.236964816,55.86300903,23,201497AB00807,Police Scotland,Serious,2,1,2014/07/09 00:00:00+00,Wednesday,1900/01/01 07:40:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Auto traffic signal,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,260102,665572,-4.236965,55.863009,,Unclassified,0,A,8
-4.257716829,55.85846902,24,201497AB00812,Police Scotland,Slight,1,1,2014/12/06 00:00:00+00,Saturday,1900/01/01 23:30:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine + high winds,Wet or damp,None,None,Urban,Yes,258787,665109,-4.257717,55.858469,,Unclassified,0,,0
-4.260091816,55.86992103,25,201497AB00903,Police Scotland,Slight,2,1,2014/03/09 00:00:00+00,Sunday,1900/01/01 13:00:00+00,Glasgow,Glasgow,Dual carriageway,50,Slip road,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,258680,666388,-4.260092,55.869921,,Motorway,8,A,82
-4.247459823,55.86126302,26,201497AB00904,Police Scotland,Slight,2,1,2014/04/08 00:00:00+00,Tuesday,1900/01/01 14:50:00+00,Glasgow,Glasgow,One way street,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,No,259439,665399,-4.24746,55.861263,,Unclassified,0,Unclassified,0
